Tempo (s),V1 (V),V2 (V),V1 - V2 (V)
-0.00025,0.68,-0.62,1.3
-0.0002498,0.64,-0.64,1.28
-0.0002496,0.64,-0.64,1.28
-0.0002494,0.6,-0.64,1.24
-0.0002492,0.64,-0.68,1.32
-0.000249,0.52,-0.68,1.2000000000000002
-0.00024880000000000003,0.56,-0.7000000000000001,1.2600000000000002
-0.0002486,0.52,-0.7000000000000001,1.2200000000000002
-0.0002484,0.48,-0.72,1.2
-0.0002482,0.44,-0.72,1.16
-0.000248,0.44,-0.74,1.18
-0.0002478,0.4,-0.76,1.1600000000000001
-0.0002476,0.36,-0.74,1.1
-0.0002474,0.32,-0.74,1.06
-0.0002472,0.36,-0.76,1.12
-0.000247,0.36,-0.78,1.1400000000000001
-0.0002468,0.28,-0.78,1.06
-0.00024660000000000003,0.36,-0.8,1.1600000000000001
-0.0002464,0.2,-0.8,1.0
-0.0002462,0.24,-0.78,1.02
-0.000246,0.2,-0.8,1.0
-0.0002458,0.16,-0.8200000000000001,0.9800000000000001
-0.0002456,0.12,-0.8200000000000001,0.9400000000000001
-0.0002454,0.12,-0.84,0.96
-0.0002452,0.08,-0.84,0.9199999999999999
-0.000245,0.08,-0.86,0.94
-0.0002448,0.0,-0.88,0.88
-0.0002446,0.04,-0.88,0.92
-0.00024440000000000003,0.04,-0.88,0.92
-0.0002442,-0.08,-0.88,0.8
-0.000244,-0.04,-0.86,0.82
-0.00024380000000000002,-0.12,-0.92,0.8
-0.0002436,-0.12,-0.92,0.8
-0.0002434,-0.16,-0.92,0.76
-0.0002432,-0.16,-0.92,0.76
-0.000243,-0.2,-0.96,0.76
-0.0002428,-0.24,-0.92,0.68
-0.00024260000000000002,-0.24,-0.9400000000000001,0.7000000000000001
-0.0002424,-0.28,-0.92,0.64
-0.0002422,-0.32,-0.9400000000000001,0.6200000000000001
-0.000242,-0.32,-0.92,0.6000000000000001
-0.0002418,-0.36,-0.9400000000000001,0.5800000000000001
-0.00024160000000000002,-0.32,-0.9400000000000001,0.6200000000000001
-0.0002414,-0.36,-0.96,0.6
-0.0002412,-0.4,-0.96,0.5599999999999999
-0.000241,-0.44,-0.98,0.54
-0.0002408,-0.48,-0.96,0.48
-0.0002406,-0.48,-0.98,0.5
-0.00024040000000000002,-0.56,-0.98,0.41999999999999993
-0.0002402,-0.56,-0.98,0.41999999999999993
-0.00024,-0.56,-0.98,0.41999999999999993
-0.0002398,-0.64,-0.98,0.33999999999999997
-0.0002396,-0.64,-1.0,0.36
-0.00023940000000000002,-0.68,-1.02,0.33999999999999997
-0.00023920000000000001,-0.72,-0.98,0.26
-0.000239,-0.64,-1.0,0.36
-0.0002388,-0.72,-1.02,0.30000000000000004
-0.0002386,-0.76,-1.02,0.26
-0.0002384,-0.8,-1.02,0.21999999999999997
-0.00023820000000000002,-0.8,-1.08,0.28
-0.000238,-0.76,-1.06,0.30000000000000004
-0.0002378,-0.88,-1.04,0.16000000000000003
-0.0002376,-0.92,-1.02,0.09999999999999998
-0.0002374,-0.88,-1.06,0.18000000000000005
-0.00023720000000000002,-0.84,-1.04,0.20000000000000007
-0.00023700000000000001,-0.92,-1.06,0.14
-0.0002368,-0.96,-1.06,0.10000000000000009
-0.0002366,-0.96,-1.06,0.10000000000000009
-0.0002364,-0.96,-1.08,0.1200000000000001
-0.0002362,-1.04,-1.04,0.0
-0.00023600000000000002,-1.04,-1.06,0.020000000000000018
-0.0002358,-1.08,-1.08,0.0
-0.0002356,-1.08,-1.1,0.020000000000000018
-0.0002354,-1.08,-1.06,-0.020000000000000018
-0.0002352,-1.12,-1.04,-0.08000000000000007
-0.00023500000000000002,-1.16,-1.08,-0.07999999999999985
-0.00023480000000000002,-1.16,-1.06,-0.09999999999999987
-0.0002346,-1.12,-1.04,-0.08000000000000007
-0.0002344,-1.2,-1.04,-0.15999999999999992
-0.0002342,-1.24,-1.04,-0.19999999999999996
-0.000234,-1.24,-1.06,-0.17999999999999994
-0.0002338,-1.28,-1.02,-0.26
-0.0002336,-1.28,-1.04,-0.24
-0.0002334,-1.32,-1.06,-0.26
-0.0002332,-1.28,-1.04,-0.24
-0.000233,-1.32,-1.02,-0.30000000000000004
-0.00023280000000000002,-1.4000000000000001,-1.06,-0.3400000000000001
-0.00023260000000000002,-1.36,-1.04,-0.32000000000000006
-0.0002324,-1.36,-1.04,-0.32000000000000006
-0.0002322,-1.36,-1.04,-0.32000000000000006
-0.000232,-1.44,-1.06,-0.3799999999999999
-0.0002318,-1.44,-1.04,-0.3999999999999999
-0.0002316,-1.48,-1.04,-0.43999999999999995
-0.00023140000000000001,-1.52,-1.02,-0.5
-0.0002312,-1.52,-1.02,-0.5
-0.000231,-1.56,-1.04,-0.52
-0.0002308,-1.56,-1.02,-0.54
-0.0002306,-1.52,-1.0,-0.52
-0.00023040000000000002,-1.56,-1.0,-0.56
-0.0002302,-1.56,-1.0,-0.56
-0.00023,-1.6,-0.98,-0.6200000000000001
-0.0002298,-1.56,-0.96,-0.6000000000000001
-0.0002296,-1.6400000000000001,-0.98,-0.6600000000000001
-0.0002294,-1.6,-0.9400000000000001,-0.66
-0.00022920000000000001,-1.6400000000000001,-0.9400000000000001,-0.7000000000000001
-0.000229,-1.6400000000000001,-0.9400000000000001,-0.7000000000000001
-0.0002288,-1.6400000000000001,-0.9400000000000001,-0.7000000000000001
-0.0002286,-1.72,-0.9400000000000001,-0.7799999999999999
-0.0002284,-1.72,-0.92,-0.7999999999999999
-0.00022820000000000002,-1.68,-0.92,-0.7599999999999999
-0.000228,-1.76,-0.92,-0.84
-0.0002278,-1.68,-0.9,-0.7799999999999999
-0.0002276,-1.76,-0.9,-0.86
-0.0002274,-1.76,-0.88,-0.88
-0.0002272,-1.76,-0.86,-0.9
-0.00022700000000000002,-1.76,-0.88,-0.88
-0.0002268,-1.8,-0.86,-0.9400000000000001
-0.0002266,-1.8,-0.86,-0.9400000000000001
-0.0002264,-1.76,-0.84,-0.92
-0.0002262,-1.8,-0.86,-0.9400000000000001
-0.00022600000000000002,-1.8800000000000001,-0.84,-1.04
-0.0002258,-1.8,-0.84,-0.9600000000000001
-0.0002256,-1.8,-0.8200000000000001,-0.98
-0.0002254,-1.8800000000000001,-0.8,-1.08
-0.0002252,-1.8,-0.78,-1.02
-0.000225,-1.92,-0.78,-1.14
-0.00022480000000000002,-1.8800000000000001,-0.78,-1.1
-0.0002246,-1.8800000000000001,-0.8,-1.08
-0.0002244,-1.92,-0.76,-1.16
-0.0002242,-1.8800000000000001,-0.76,-1.12
-0.000224,-1.8800000000000001,-0.78,-1.1
-0.00022380000000000002,-1.92,-0.72,-1.2
-0.00022360000000000001,-1.92,-0.72,-1.2
-0.0002234,-1.92,-0.74,-1.18
-0.0002232,-1.8800000000000001,-0.7000000000000001,-1.1800000000000002
-0.000223,-1.96,-0.68,-1.2799999999999998
-0.0002228,-1.96,-0.68,-1.2799999999999998
-0.00022260000000000002,-1.96,-0.68,-1.2799999999999998
-0.0002224,-1.96,-0.68,-1.2799999999999998
-0.0002222,-1.92,-0.66,-1.2599999999999998
-0.000222,-1.96,-0.64,-1.3199999999999998
-0.0002218,-1.92,-0.64,-1.2799999999999998
-0.00022160000000000002,-1.92,-0.62,-1.2999999999999998
-0.00022140000000000001,-1.92,-0.6,-1.3199999999999998
-0.0002212,-1.96,-0.58,-1.38
-0.000221,-1.92,-0.58,-1.3399999999999999
-0.0002208,-1.92,-0.58,-1.3399999999999999
-0.0002206,-1.96,-0.54,-1.42
-0.00022040000000000002,-1.96,-0.56,-1.4
-0.0002202,-1.92,-0.54,-1.38
-0.00022,-1.96,-0.5,-1.46
-0.0002198,-1.92,-0.52,-1.4
-0.0002196,-1.96,-0.5,-1.46
-0.00021940000000000002,-2.0,-0.48,-1.52
-0.00021920000000000002,-1.92,-0.48,-1.44
-0.000219,-1.92,-0.5,-1.42
-0.0002188,-2.0,-0.46,-1.54
-0.0002186,-2.0,-0.42,-1.58
-0.0002184,-1.92,-0.44,-1.48
-0.0002182,-1.92,-0.44,-1.48
-0.000218,-1.96,-0.42,-1.54
-0.0002178,-1.96,-0.4,-1.56
-0.0002176,-1.92,-0.4,-1.52
-0.0002174,-1.8800000000000001,-0.4,-1.48
-0.00021720000000000002,-1.8800000000000001,-0.38,-1.5
-0.00021700000000000002,-1.92,-0.38,-1.54
-0.0002168,-1.92,-0.34,-1.5799999999999998
-0.0002166,-1.8800000000000001,-0.34,-1.54
-0.0002164,-1.92,-0.3,-1.6199999999999999
-0.0002162,-1.92,-0.34,-1.5799999999999998
-0.000216,-1.92,-0.3,-1.6199999999999999
-0.00021580000000000001,-1.84,-0.3,-1.54
-0.0002156,-1.8,-0.28,-1.52
-0.0002154,-1.84,-0.26,-1.58
-0.0002152,-1.8800000000000001,-0.26,-1.62
-0.00021500000000000002,-1.84,-0.24,-1.6
-0.00021480000000000002,-1.8,-0.22,-1.58
-0.0002146,-1.84,-0.22,-1.62
-0.0002144,-1.8800000000000001,-0.2,-1.6800000000000002
-0.0002142,-1.8,-0.18,-1.62
-0.000214,-1.76,-0.16,-1.6
-0.0002138,-1.8,-0.16,-1.6400000000000001
-0.00021360000000000001,-1.8,-0.16,-1.6400000000000001
-0.0002134,-1.76,-0.12,-1.6400000000000001
-0.0002132,-1.76,-0.1,-1.66
-0.000213,-1.76,-0.1,-1.66
-0.00021280000000000002,-1.72,-0.08,-1.64
-0.00021260000000000002,-1.68,-0.08,-1.5999999999999999
-0.0002124,-1.68,-0.06,-1.6199999999999999
-0.0002122,-1.72,-0.06,-1.66
-0.000212,-1.68,-0.02,-1.66
-0.0002118,-1.68,0.0,-1.68
-0.0002116,-1.72,0.0,-1.72
-0.00021140000000000002,-1.6400000000000001,0.02,-1.6600000000000001
-0.0002112,-1.68,0.02,-1.7
-0.000211,-1.6400000000000001,0.04,-1.6800000000000002
-0.0002108,-1.56,0.06,-1.62
-0.00021060000000000002,-1.52,0.06,-1.58
-0.00021040000000000002,-1.56,0.08,-1.6400000000000001
-0.00021020000000000001,-1.6,0.1,-1.7000000000000002
-0.00021,-1.52,0.1,-1.62
-0.0002098,-1.56,0.14,-1.7000000000000002
-0.0002096,-1.52,0.16,-1.68
-0.0002094,-1.52,0.18,-1.7
-0.00020920000000000002,-1.48,0.18,-1.66
-0.000209,-1.44,0.18,-1.6199999999999999
-0.0002088,-1.48,0.24,-1.72
-0.0002086,-1.48,0.22,-1.7
-0.00020840000000000002,-1.36,0.24,-1.6
-0.00020820000000000002,-1.4000000000000001,0.26,-1.6600000000000001
-0.00020800000000000001,-1.4000000000000001,0.26,-1.6600000000000001
-0.0002078,-1.36,0.3,-1.6600000000000001
-0.0002076,-1.32,0.28,-1.6
-0.0002074,-1.28,0.34,-1.62
-0.0002072,-1.32,0.34,-1.6600000000000001
-0.00020700000000000002,-1.28,0.34,-1.62
-0.0002068,-1.28,0.38,-1.6600000000000001
-0.0002066,-1.2,0.4,-1.6
-0.0002064,-1.24,0.4,-1.6400000000000001
-0.0002062,-1.2,0.42,-1.6199999999999999
-0.00020600000000000002,-1.2,0.42,-1.6199999999999999
-0.00020580000000000002,-1.12,0.42,-1.54
-0.0002056,-1.16,0.44,-1.5999999999999999
-0.0002054,-1.08,0.46,-1.54
-0.0002052,-1.16,0.48,-1.64
-0.000205,-1.08,0.46,-1.54
-0.0002048,-1.04,0.5,-1.54
-0.0002046,-1.04,0.5,-1.54
-0.0002044,-1.0,0.54,-1.54
-0.0002042,-0.96,0.54,-1.5
-0.000204,-0.96,0.54,-1.5
-0.00020380000000000002,-0.96,0.56,-1.52
-0.00020360000000000002,-0.88,0.58,-1.46
-0.0002034,-0.92,0.58,-1.5
-0.0002032,-0.88,0.58,-1.46
-0.000203,-0.84,0.6,-1.44
-0.0002028,-0.84,0.62,-1.46
-0.0002026,-0.84,0.62,-1.46
-0.00020240000000000001,-0.8,0.66,-1.46
-0.0002022,-0.76,0.66,-1.42
-0.000202,-0.68,0.66,-1.34
-0.0002018,-0.68,0.7000000000000001,-1.3800000000000001
-0.00020160000000000002,-0.64,0.7000000000000001,-1.34
-0.00020140000000000002,-0.64,0.7000000000000001,-1.34
-0.0002012,-0.64,0.72,-1.3599999999999999
-0.000201,-0.6,0.74,-1.3399999999999999
-0.0002008,-0.6,0.76,-1.3599999999999999
-0.0002006,-0.56,0.74,-1.3
-0.0002004,-0.52,0.76,-1.28
-0.00020020000000000001,-0.6,0.78,-1.38
-0.0002,-0.48,0.8200000000000001,-1.3
-0.0001998,-0.48,0.78,-1.26
-0.0001996,-0.48,0.8,-1.28
-0.00019940000000000002,-0.44,0.8,-1.24
-0.00019920000000000002,-0.36,0.78,-1.1400000000000001
-0.000199,-0.4,0.8200000000000001,-1.2200000000000002
-0.0001988,-0.36,0.8200000000000001,-1.1800000000000002
-0.0001986,-0.28,0.8200000000000001,-1.1
-0.0001984,-0.28,0.8200000000000001,-1.1
-0.0001982,-0.28,0.84,-1.12
-0.00019800000000000002,-0.24,0.86,-1.1
-0.0001978,-0.2,0.84,-1.04
-0.0001976,-0.2,0.86,-1.06
-0.0001974,-0.16,0.86,-1.02
-0.00019720000000000002,-0.12,0.88,-1.0
-0.00019700000000000002,-0.12,0.92,-1.04
-0.0001968,-0.08,0.92,-1.0
-0.0001966,-0.04,0.92,-0.9600000000000001
-0.0001964,0.0,0.92,-0.92
-0.0001962,-0.04,0.9400000000000001,-0.9800000000000001
-0.000196,0.08,0.9400000000000001,-0.8600000000000001
-0.00019580000000000002,0.08,0.96,-0.88
-0.0001956,0.04,0.9400000000000001,-0.9
-0.0001954,0.08,0.96,-0.88
-0.0001952,0.16,0.96,-0.7999999999999999
-0.00019500000000000002,0.2,0.98,-0.78
-0.00019480000000000002,0.16,0.96,-0.7999999999999999
-0.00019460000000000001,0.2,1.0,-0.8
-0.0001944,0.24,0.98,-0.74
-0.0001942,0.32,1.0,-0.6799999999999999
-0.000194,0.24,1.0,-0.76
-0.0001938,0.32,1.0,-0.6799999999999999
-0.00019360000000000002,0.4,1.0,-0.6
-0.0001934,0.36,1.0,-0.64
-0.0001932,0.4,1.0,-0.6
-0.000193,0.36,1.04,-0.68
-0.00019280000000000002,0.48,1.02,-0.54
-0.00019260000000000002,0.48,1.04,-0.56
-0.00019240000000000001,0.44,1.04,-0.6000000000000001
-0.0001922,0.52,1.06,-0.54
-0.000192,0.52,1.04,-0.52
-0.0001918,0.56,1.04,-0.48
-0.0001916,0.52,1.08,-0.56
-0.00019140000000000002,0.52,1.06,-0.54
-0.0001912,0.6,1.06,-0.4600000000000001
-0.000191,0.72,1.08,-0.3600000000000001
-0.0001908,0.72,1.04,-0.32000000000000006
-0.0001906,0.72,1.06,-0.3400000000000001
-0.00019040000000000002,0.72,1.06,-0.3400000000000001
-0.00019020000000000002,0.76,1.08,-0.32000000000000006
-0.00019,0.72,1.08,-0.3600000000000001
-0.0001898,0.8,1.08,-0.28
-0.0001896,0.76,1.1,-0.3400000000000001
-0.0001894,0.84,1.08,-0.2400000000000001
-0.0001892,0.84,1.08,-0.2400000000000001
-0.000189,0.84,1.1400000000000001,-0.30000000000000016
-0.0001888,0.88,1.12,-0.2400000000000001
-0.0001886,0.96,1.12,-0.16000000000000014
-0.00018840000000000003,0.92,1.1,-0.18000000000000005
-0.00018820000000000002,0.96,1.1400000000000001,-0.18000000000000016
-0.00018800000000000002,0.96,1.12,-0.16000000000000014
-0.0001878,1.0,1.12,-0.1200000000000001
-0.0001876,1.04,1.1400000000000001,-0.10000000000000009
-0.0001874,1.04,1.12,-0.08000000000000007
-0.0001872,1.08,1.12,-0.040000000000000036
-0.000187,1.08,1.12,-0.040000000000000036
-0.00018680000000000001,1.16,1.1400000000000001,0.019999999999999796
-0.0001866,1.16,1.1400000000000001,0.019999999999999796
-0.0001864,1.12,1.12,0.0
-0.00018620000000000003,1.24,1.1400000000000001,0.09999999999999987
-0.00018600000000000002,1.2,1.1400000000000001,0.05999999999999983
-0.00018580000000000002,1.24,1.1400000000000001,0.09999999999999987
-0.0001856,1.28,1.12,0.15999999999999992
-0.0001854,1.24,1.12,0.11999999999999988
-0.0001852,1.28,1.16,0.1200000000000001
-0.000185,1.32,1.1400000000000001,0.17999999999999994
-0.0001848,1.36,1.12,0.24
-0.00018460000000000001,1.36,1.12,0.24
-0.0001844,1.36,1.12,0.24
-0.0001842,1.32,1.12,0.19999999999999996
-0.00018400000000000003,1.4000000000000001,1.1,0.30000000000000004
-0.00018380000000000002,1.44,1.1400000000000001,0.2999999999999998
-0.00018360000000000002,1.48,1.1,0.3799999999999999
-0.0001834,1.44,1.12,0.31999999999999984
-0.0001832,1.52,1.12,0.3999999999999999
-0.000183,1.52,1.1,0.41999999999999993
-0.0001828,1.52,1.12,0.3999999999999999
-0.0001826,1.56,1.08,0.48
-0.0001824,1.56,1.06,0.5
-0.0001822,1.6,1.1,0.5
-0.000182,1.68,1.1,0.5799999999999998
-0.00018180000000000003,1.6400000000000001,1.1,0.54
-0.00018160000000000002,1.6,1.08,0.52
-0.00018140000000000002,1.6,1.08,0.52
-0.0001812,1.6400000000000001,1.1,0.54
-0.000181,1.6400000000000001,1.08,0.56
-0.0001808,1.72,1.06,0.6599999999999999
-0.0001806,1.72,1.06,0.6599999999999999
-0.0001804,1.6400000000000001,1.04,0.6000000000000001
-0.0001802,1.68,1.04,0.6399999999999999
-0.00018,1.68,1.02,0.6599999999999999
-0.0001798,1.72,1.04,0.6799999999999999
-0.0001796,1.72,1.02,0.7
-0.00017940000000000002,1.8,1.0,0.8
-0.00017920000000000002,1.76,1.0,0.76
-0.00017900000000000001,1.76,1.02,0.74
-0.0001788,1.8,0.96,0.8400000000000001
-0.0001786,1.84,0.96,0.8800000000000001
-0.0001784,1.8,0.96,0.8400000000000001
-0.0001782,1.84,0.9400000000000001,0.9
-0.000178,1.84,0.96,0.8800000000000001
-0.0001778,1.8800000000000001,0.96,0.9200000000000002
-0.0001776,1.92,0.92,0.9999999999999999
-0.0001774,1.8800000000000001,0.92,0.9600000000000001
-0.00017720000000000002,1.8800000000000001,0.92,0.9600000000000001
-0.00017700000000000002,1.96,0.9,1.06
-0.00017680000000000001,1.8800000000000001,0.88,1.0
-0.0001766,1.92,0.9,1.02
-0.0001764,1.84,0.9,0.9400000000000001
-0.0001762,1.96,0.9,1.06
-0.000176,1.92,0.88,1.04
-0.0001758,1.92,0.86,1.06
-0.0001756,1.96,0.84,1.12
